m=89, n=12, q=23, M0=9981, M1=9989 
m=424, n=12, q=23, M0=9979, M1=9992 
m=227, n=12, q=23, M0=9979, M1=9989 
m=15, n=12, q=23, M0=9991, M1=9989 
m=293, n=12, q=23, M0=9977, M1=9989 
m=88, n=12, q=23, M0=9978, M1=9989 
m=488, n=12, q=23, M0=9985, M1=9990 
m=159, n=12, q=23, M0=9974, M1=9992 
m=14, n=12, q=23, M0=9977, M1=9991 
m=358, n=12, q=23, M0=9986, M1=9993 
m=226, n=12, q=23, M0=9973, M1=9992 
m=87, n=12, q=23, M0=9971, M1=9984 
m=13, n=12, q=23, M0=9984, M1=9989 
m=423, n=12, q=23, M0=9985, M1=9988 
m=158, n=12, q=23, M0=9985, M1=9990 
m=292, n=12, q=23, M0=9982, M1=9990 
m=12, n=12, q=23, M0=9980, M1=9992 
m=86, n=12, q=23, M0=9980, M1=9996 
m=225, n=12, q=23, M0=9980, M1=9990 
m=357, n=12, q=23, M0=9982, M1=9985 
m=487, n=12, q=23, M0=9986, M1=9986 
m=11, n=12, q=23, M0=9977, M1=9989 
m=157, n=12, q=23, M0=9976, M1=9993 
m=85, n=12, q=23, M0=9974, M1=9990 
m=10, n=12, q=23, M0=9976, M1=9990 
m=291, n=12, q=23, M0=9982, M1=9994 
m=422, n=12, q=23, M0=9977, M1=9987 
m=224, n=12, q=23, M0=9980, M1=9985 
m=156, n=12, q=23, M0=9984, M1=9989 
m=84, n=12, q=23, M0=9976, M1=9993 
m=9, n=12, q=23, M0=9981, M1=9983 
m=356, n=12, q=23, M0=9989, M1=9989 
m=8, n=12, q=23, M0=9981, M1=9997 
m=486, n=12, q=23, M0=9978, M1=9988 
m=83, n=12, q=23, M0=9985, M1=9991 
m=155, n=12, q=23, M0=9972, M1=9990 
m=290, n=12, q=23, M0=9981, M1=9989 
m=223, n=12, q=23, M0=9979, M1=9986 
m=7, n=12, q=23, M0=9977, M1=9987 
m=421, n=12, q=23, M0=9981, M1=9987 
